"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\package-lock.json", "JSON", 0, 0, 19815, 0, 0, 0, 1, 19816
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\package.json", "JSON", 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\App.css", "CSS", 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\App.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\CreateMemo.css", "CSS", 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\CreateMemo.js", "JavaScript", 137, 0, 0, 0, 0, 8, 4, 149
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\Home.js", "JavaScript", 33, 0, 0, 0, 0, 2, 7, 42
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\Login.js", "JavaScript", 29, 0, 0, 0, 0, 87, 13, 129
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\Logout.js", "JavaScript", 21, 0, 0, 0, 0, 1, 4, 26
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\Navbar.css", "CSS", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\Navbar.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\components\VariantButtonGroup.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\firebase.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Chu8s\dev\reactProject\fangetter-with-react-and-firebase\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 322, 112, 19884, 38, 20, 121, 100, 20597
